category;subcategory;text;priority;tags;answer_pattern
Новые клиенты;Регистрация и онбординг;Могу ли я использовать другое удостоверение личности вместо паспорта?;высокий;новые клиенты;Для регистрации в качестве нового клиента необходим паспорт гражданина Республики Беларусь и контактный номер мобильного телефона для получения SMS-подтверждений.
Новые клиенты;Регистрация и онбординг;Нужно ли иметь при себе сам мобильный телефон при регистрации для подтверждений?;высокий;новые клиенты;Для регистрации в качестве нового клиента необходим паспорт гражданина Республики Беларусь и контактный номер мобильного телефона для получения SMS-подтверждений.
Новые клиенты;Первые шаги;Что я получу после регистрации?;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Когда мне придут данные для входа?;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Что нужно сделать при первом входе в Интернет-банк?;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Пароль, который мне выдадут, он временный?;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Обязательно ли мне менять пароль при первом входе?;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Нужно ли настроить что-то еще, кроме пароля, для безопасности?;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Как мне установить ваше мобильное приложение?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Новые клиенты;Первые шаги;Где можно скачать приложение VTB mBank?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Новые клиенты;Первые шаги;Какое название у вашего мобильного приложения?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Новые клиенты;Первые шаги;Как мне залогиниться в приложении после установки?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Новые клиенты;Первые шаги;Нужен ли мне отдельный логин для входа в мобильный банк?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Новые клиенты;Первые шаги;Что нужно сделать после первого входа в приложение?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Новые клиенты;Первые шаги;Где мне найти приложение, если у меня Айфон?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Техническая поддержка;Проблемы и решения;Что делать, если у меня не получается зайти в Интернет-банк?;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Как мне сбросить пароль, если я его не помню?;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Куда обращаться, если я все проверил, но все равно не могу войти?;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Какой номер телефона у контакт-центра?;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Нужно ли проверять логин и пароль, если не получается войти?;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Могу ли я позвонить по короткому номеру 250?;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Как я могу получить помощь онлайн, если не хочу звонить?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;В какое время я могу написать в чат поддержки?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;Предоставляете ли вы консультации в субботу?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;Где мне найти ссылку на чат с банком?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;Можно ли задать вопрос в Telegram?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;Могу ли я получить консультацию голосом через Telegram?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;До скольки работает чат поддержки?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;Я забыл свой логин, что мне теперь делать?;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Как я могу восстановить доступ к личному кабинету, если пароль не помню?;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Где на сайте мне искать функцию для восстановления пароля?;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Какую кнопку нужно нажать, чтобы начать восстановление логина?;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Процедура восстановления доступа к системе ДБО начинается с главного экрана?;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Мне нужно восстановить доступ, я забыл и логин, и пароль, это возможно?;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Куда мне звонить, если моя карта вдруг заблокировалась?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;По какому номеру можно связаться с контакт-центром банка?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;Смогу ли я разблокировать карту прямо по телефону?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;Что нужно сделать, чтобы карту по телефону разблокировали?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;Зачем мне звонить в контакт-центр, если карта заблокирована?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;Во всех ли случаях карту можно разблокировать удаленно?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;Как я могу подать обращение или оставить отзыв?;высокий;все клиенты;"Вы можете воспользоваться формой ""Обратная связь""(https://www.vtb.by/elektronnoe-pismo) на главной странице сайта банка ВТБ. Ваше обращение будет рассмотрено руководством банка в соответствии с Законом Республики Беларусь ""Об обращениях граждан и юридических лиц"" №300-З."
Техническая поддержка;Проблемы и решения;"Где находится эта форма ""Обратная связь"" на сайте?";высокий;все клиенты;"Вы можете воспользоваться формой ""Обратная связь""(https://www.vtb.by/elektronnoe-pismo) на главной странице сайта банка ВТБ. Ваше обращение будет рассмотрено руководством банка в соответствии с Законом Республики Беларусь ""Об обращениях граждан и юридических лиц"" №300-З."
Техническая поддержка;Проблемы и решения;Кто будет рассматривать мое обращение?;высокий;все клиенты;"Вы можете воспользоваться формой ""Обратная связь""(https://www.vtb.by/elektronnoe-pismo) на главной странице сайта банка ВТБ. Ваше обращение будет рассмотрено руководством банка в соответствии с Законом Республики Беларусь ""Об обращениях граждан и юридических лиц"" №300-З."
Техническая поддержка;Проблемы и решения;"Можете дать мне прямую ссылку на форму ""Обратная связь""?";высокий;все клиенты;"Вы можете воспользоваться формой ""Обратная связь""(https://www.vtb.by/elektronnoe-pismo) на главной странице сайта банка ВТБ. Ваше обращение будет рассмотрено руководством банка в соответствии с Законом Республики Беларусь ""Об обращениях граждан и юридических лиц"" №300-З."
Техническая поддержка;Проблемы и решения;В соответствии с каким законом рассматриваются обращения?;высокий;все клиенты;"Вы можете воспользоваться формой ""Обратная связь""(https://www.vtb.by/elektronnoe-pismo) на главной странице сайта банка ВТБ. Ваше обращение будет рассмотрено руководством банка в соответствии с Законом Республики Беларусь ""Об обращениях граждан и юридических лиц"" №300-З."
Техническая поддержка;Проблемы и решения;Сколько времени ждать зачисления денег на мою карту?;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Техническая поддержка;Проблемы и решения;От чего зависит, как быстро зачислятся деньги на карту?;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Техническая поддержка;Проблемы и решения;Мне нужно погасить кредит, когда сумма будет зачислена?;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Техническая поддержка;Проблемы и решения;Где можно посмотреть подробную информацию о сроках зачисления?;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Техническая поддержка;Проблемы и решения;Я пополнил карту через банкомат, когда деньги будут доступны?;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Техническая поддержка;Проблемы и решения;Время зачисления отличается для разных карт?;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Продукты - Карты;Дебетовые карты - MORE;Где я могу оформить карту MORE?;высокий;новые клиенты;Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.
Продукты - Карты;Дебетовые карты - MORE;Какие документы нужны, чтобы получить карту MORE в отделении?;высокий;новые клиенты;Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.
Продукты - Карты;Дебетовые карты - MORE;Можно ли оформить карту MORE онлайн, не приходя в банк?;высокий;новые клиенты;Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.
Продукты - Карты;Дебетовые карты - MORE;Через какие онлайн-сервисы я могу оформить карту MORE?;высокий;новые клиенты;Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.
Продукты - Карты;Дебетовые карты - MORE;Карта MORE выдается платно или бесплатно?;высокий;новые клиенты;Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.
Продукты - Карты;Дебетовые карты - MORE;Какие возможности предлагает карта MORE?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Можно ли с этой картой делать бесконтактные платежи?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Есть ли комиссия за снятие наличных в банкоматах с карты MORE?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Могу ли я оплачивать покупки онлайн картой MORE?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Как можно перевести деньги с этой карты?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;В каких банкоматах можно снять деньги с карты MORE без комиссии?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Для чего предназначена карта MORE?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Через какие банкоматы я могу пополнить карту MORE?;высокий;новые клиенты;Пополнить карточку MORE можно бесплатно через банкоматы ВТБ с функцией Cash-In, в отделениях банка, через Интернет-банк с других карт ВТБ, переводом с карты на карту.
Продукты - Карты;Дебетовые карты - MORE;Можно ли пополнить мою карту MORE прямо в офисе банка?;высокий;новые клиенты;Пополнить карточку MORE можно бесплатно через банкоматы ВТБ с функцией Cash-In, в отделениях банка, через Интернет-банк с других карт ВТБ, переводом с карты на карту.
Продукты - Карты;Дебетовые карты - MORE;С каких карт можно пополнить MORE через интернет-банк?;высокий;новые клиенты;Пополнить карточку MORE можно бесплатно через банкоматы ВТБ с функцией Cash-In, в отделениях банка, через Интернет-банк с других карт ВТБ, переводом с карты на карту.
Продукты - Карты;Дебетовые карты - MORE;Доступно ли пополнение карты MORE переводом с карты на карту?;высокий;новые клиенты;Пополнить карточку MORE можно бесплатно через банкоматы ВТБ с функцией Cash-In, в отделениях банка, через Интернет-банк с других карт ВТБ, переводом с карты на карту.
Продукты - Карты;Дебетовые карты - MORE;Какими способами я могу пополнить свою карту MORE без комиссии?;высокий;новые клиенты;Пополнить карточку MORE можно бесплатно через банкоматы ВТБ с функцией Cash-In, в отделениях банка, через Интернет-банк с других карт ВТБ, переводом с карты на карту.
Продукты - Карты;Дебетовые карты - MORE;Как устанавливаются лимиты по карте MORE?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;Лимиты по карте MORE у всех клиентов одинаковые?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;Можно ли поменять установленные лимиты по карте?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;Какие лимиты можно изменить?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;Через что можно поменять лимиты?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;В каком разделе Интернет-банка или приложения искать управление лимитами?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;Через что я могу заказать дебетовую карту MORE онлайн?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
Продукты - Карты;Дебетовые карты - MORE;Можно ли оформить заявку на карту MORE через мобильное приложение VTB mBank?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
Продукты - Карты;Дебетовые карты - MORE;Где мне потом забрать карту MORE, которую я заказал через интернет?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
Продукты - Карты;Дебетовые карты - MORE;Нужно ли мне идти в отделение банка, чтобы получить мою карту MORE, заказанную онлайн?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
Продукты - Карты;Дебетовые карты - MORE;Доставят ли мне карту MORE на дом, если я ее закажу онлайн?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
Продукты - Карты;Дебетовые карты - MORE;Можно ли вообще оформить карту MORE не выходя из дома?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
Продукты - Карты;Дебетовые карты - MORE;Платный ли выпуск карты MORE?;средний;новые клиенты;Выпуск и обслуживание карты MORE бесплатны для физических лиц при соблюдении условий банка.
